source_genesymbol	target_genesymbol	regulation	source
CEBPA	STAR	1	SIGNOR
CEBPB	ADM	1	SIGNOR
CEBPB	CSRP1	1	SIGNOR
CEBPB	GDF15	1	SIGNOR
CEBPB	PPARG	1	SIGNOR
CEBPB	S100A9	1	SIGNOR
CEBPB	SFTPD	1	SIGNOR
CEBPB	SLC19A1	1	SIGNOR
CEBPB	SLC5A8	1	SIGNOR
CEBPB	STAR	1	SIGNOR
CEBPB	TNFAIP6	1	SIGNOR
CEBPG	SFTPD	1	SIGNOR
CLOCK	NR0B2	1	SIGNOR
CLOCK	NR3C1	-1	SIGNOR
CREB1	BDNF	1	SIGNOR
CREB1	CHGA	1	SIGNOR
CREB1	G6PC1	1	SIGNOR
CREB1	MITF	1	SIGNOR
CREB1	SLC5A5	1	SIGNOR
CREM	IL2	-1	SIGNOR
CTCFL	BAG1	1	SIGNOR
DLX5	MYC	1	SIGNOR
EGR1	CHGA	1	SIGNOR
DMTF1	EGR1	1	SIGNOR
HLX	EGR1	-1	SIGNOR
EGR1	HPSE	1	SIGNOR
EGR1	PPARG	-1	SIGNOR
ELK1	MUC4	1	SIGNOR
ELK1	PRKCA	1	SIGNOR
ERG	CDH5	1	SIGNOR
ESR1	CCND1	1	SIGNOR
ESR1	PPARG	-1	SIGNOR
ETS1	ATP2A3	1	SIGNOR
ETS1	FOS	1	SIGNOR
ETS1	MUC4	1	SIGNOR
ETS1	TNC	1	SIGNOR
ETS2	SPP1	1	SIGNOR
FOS	CYP19A1	1	SIGNOR
FOS	STAR	1	SIGNOR
FOSL2	FOSL1	1	SIGNOR
FOXE1	TPO	1	SIGNOR
